"Continent ID","Continent","Country ID","Country","Year","Trade Value","Trade Value Growth","Trade Value Growth Value","Trade Value Previous","Trade Value Current"
"af","Africa","afago","Angola",2019,1747,-0.9905033186742698,-182212,183959,1747
"af","Africa","afbdi","Burundi",2019,22025189,-0.17540444052785195,-4685104,26710293,22025189
"af","Africa","afben","Benin",2019,1454,-0.9945583017709846,-265742,267196,1454
"af","Africa","afbfa","Burkina Faso",2019,15854,0.5592053501180173,5686,10168,15854
"af","Africa","afbwa","Botswana",2019,4999,-0.027242654212881884,-140,5139,4999
"af","Africa","afciv","Cote d'Ivoire",2019,148627,0.3182697083658554,35883,112744,148627
"af","Africa","afcmr","Cameroon",2019,7397,-0.6864748018480058,-16196,23593,7397
"af","Africa","afcod","Democratic Republic of the Congo",2019,4248,-0.9632255551227114,-111267,115515,4248
"af","Africa","afcog","Republic of the Congo",2019,86,-0.9992393284862637,-112972,113058,86
"af","Africa","afcom","Comoros",2019,537,-0.7790123456790123,-1893,2430,537
"af","Africa","afdji","Djibouti",2019,1031222,0.38722947449984396,287854,743368,1031222
"af","Africa","afdza","Algeria",2019,10169,0.12464056624640567,1127,9042,10169
"af","Africa","afegy","Egypt",2019,11886236,-0.09969570076497078,-1316229,13202465,11886236
"af","Africa","afeth","Ethiopia",2019,738455,-0.5880672230468817,-1054204,1792659,738455
"af","Africa","afgha","Ghana",2019,373813,1.0844862293747317,194482,179331,373813
"af","Africa","afgin","Guinea",2019,40907,0.14032838067627462,5034,35873,40907
"af","Africa","afgmb","Gambia",2019,6076,-0.9869910761694329,-460988,467064,6076
"af","Africa","afgnb","Guinea-Bissau",2019,3431,141.95833333333334,3407,24,3431
"af","Africa","afken","Kenya",2019,1129765395,-0.22689438484548005,-331568442,1461333837,1129765395
"af","Africa","aflby","Libya",2019,52.00000000000001,-0.914332784184514,-555,607,52.00000000000001
"af","Africa","aflso","Lesotho",2019,4255,0.16639254385964913,607,3648,4255
"af","Africa","afmar","Morocco",2019,29192624,-0.23897995253476145,-9167238,38359862,29192624
"af","Africa","afmdg","Madagascar",2019,21722,-0.7387298532595622,-61418,83140,21722
"af","Africa","afmli","Mali",2019,139043,-0.39539949994564627,-90932,229975,139043
"af","Africa","afmoz","Mozambique",2019,8393077,-0.10803847312635864,-1016608,9409685,8393077
"af","Africa","afmrt","Mauritania",2019,21333.000000000004,113.08021390374334,21146.000000000004,187,21333.000000000004
"af","Africa","afmus","Mauritius",2019,335416,-0.0604356972584743,-21575,356991,335416
"af","Africa","afmwi","Malawi",2019,83367866,-0.12863259995251203,-12306893,95674759,83367866
"af","Africa","afnam","Namibia",2019,7060,-0.08394965615674063,-647,7707,7060
"af","Africa","afner","Niger",2019,10125,-0.9974677345615592,-3988271.0000000005,3998396.0000000005,10125
"af","Africa","afnga","Nigeria",2019,1181007,0.471505786310218,378423,802584,1181007
"af","Africa","afrwa","Rwanda",2019,72515835,-0.030903421079341856,-2312450,74828285,72515835
"af","Africa","afsdn","Sudan",2019,13369,4.989695340501792,11137,2232,13369
"af","Africa","afsen","Senegal",2019,1065226,-0.5894836067216372,-1529618,2594844,1065226
"af","Africa","afsle","Sierra Leone",2019,364945,-0.4460904025632425,-293908,658853,364945
"af","Africa","afsom","Somalia",2019,870,-0.8175718179911932,-3899,4769,870
"af","Africa","afswz","Eswatini",2019,296,-0.25252525252525243,-99.99999999999994,395.99999999999994,296
"af","Africa","aftgo","Togo",2019,186373,-0.2591663619162705,-65199,251572,186373
"af","Africa","aftun","Tunisia",2019,3127.9999999999995,-0.6404184389010231,-5571,8699,3127.9999999999995
"af","Africa","aftza","Tanzania",2019,35546077,-0.3725757193613136,-21107894,56653971,35546077
"af","Africa","afuga","Uganda",2019,17790968,-0.7715572716233738,-60088368,77879336,17790968
"af","Africa","afzaf","South Africa",2019,27566156,-0.13296726889758007,-4227518,31793674,27566156
"af","Africa","afzmb","Zambia",2019,270386,-0.05155008032776535,-14696,285082,270386
"af","Africa","afzwe","Zimbabwe",2019,33472959,-0.10936757650194129,-4110401,37583360,33472959
"as","Asia","asafg","Afghanistan",2019,27818,-0.627773168838815,-46916,74734,27818
"as","Asia","asare","United Arab Emirates",2019,310668252,-0.14806677075976163,-53994425,364662677,310668252
"as","Asia","asarm","Armenia",2019,54902,-0.3780149316294509,-33367,88269,54902
"as","Asia","asaze","Azerbaijan",2019,9637497,0.017078481124336683,161830,9475667,9637497
"as","Asia","asbgd","Bangladesh",2019,3340141,0.10471677613594983,316614,3023527,3340141
"as","Asia","asbhr","Bahrain",2019,2904,-0.9780904598438266,-129641,132545,2904
"as","Asia","asbrn","Brunei",2019,7241,-0.5496610485726724,-8838,16079,7241
"as","Asia","aschn","China",2019,1771249125,0.06973610420750583,115467743,1655781382,1771249125
"as","Asia","ascyp","Cyprus",2019,35709,-0.15126090366743516,-6364,42073,35709
"as","Asia","asgeo","Georgia",2019,4396891,0.20896537274561,759987,3636904,4396891
"as","Asia","ashkg","Hong Kong",2019,72639209,0.4608479144027115,22915204,49724005,72639209
